vignedo,vino,agno,rating,nro_revs,pais,region,precio,tipo,cuerpo,acidez
Monte Real,Gran Reserva,1964,4.5,54,Espana,Rioja,,,4,3
Vega Sicilia,Unico,1965,4.6,218,Espana,Ribera del Duero,,,5,3
Toro Albala,Don PX Vieja Cosecha,1973,4.5,95,Espana,Montilla-Moriles,,,5,1
Muga,Prado Enea Gran Reserva,1982,4.3,90,Espana,Rioja,,,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1982,4.6,39,Espana,Ribera del Duero,,,5,3
La Rioja Alta,Vina Ardanza Reserva,1985,4.3,72,Espana,Rioja,,,4,3
Muga,Prado Enea Gran Reserva,1985,4.3,75,Espana,Rioja,,,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Espana,Ribera del Duero,,,5,3
Toro Albala,Don PX Pedro Ximenez,1986,4.4,95,Espana,Montilla-Moriles,,,5,1
Tinto Pesquera,Reserva,1986,4.5,29,Espana,Ribera del Duero,,,5,3
Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,,,5,3
Vega Sicilia,Valbuena 5o,1988,4.5,126,Espana,Ribera del Duero,,,5,3
Muga,Prado Enea Gran Reserva,1991,4.4,72,Espana,Rioja,,,4,3
Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,,,5,3
Bodegas Faustino,Faustino de Autor Reserva Especial,1994,4.3,76,Espana,Rioja,,,4,3
Vega Sicilia,Valbuena 5o,1994,4.4,218,Espana,Ribera del Duero,,,5,3
La Rioja Alta,Gran Reserva 890,1995,4.5,574,Espana,Rioja,,,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Espana,Ribera del Duero,,,5,3
Alvaro Palacios,Finca Dofi,1997,4.3,60,Espana,Priorato,,,4,3
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Espana,Ribera del Duero,,,5,3
Alvaro Palacios,Finca Dofi,2000,4.3,202,Espana,Priorato,,,4,3
