vignedo,vino,agno,rating,nro_revs,pais,region,precio,tipo,cuerpo,acidez
Teso La Monja,Tinto,2013,4.9,58,Espana,Toro,995.0,Toro Red,5,3
Artadi,Vina El Pison,2018,4.9,31,Espana,Vino de Espana,313.5,Tempranillo,4,2
Vega Sicilia,Unico,2009,4.8,1793,Espana,Ribera del Duero,325.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1999,4.8,1705,Espana,Ribera del Duero,693.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1996,4.8,1309,Espana,Ribera del Duero,778.1,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1998,4.8,1209,Espana,Ribera del Duero,490.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2010,4.8,1201,Espana,Ribera del Duero,349.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1995,4.8,926,Espana,Ribera del Duero,810.9,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Espana,Ribera del Duero,345.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2011,4.8,630,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Espana,Ribera del Duero,514.8,Ribera Del Duero Red,5,3
Pago de Carraovejas,El Anejon,2016,4.8,454,Espana,Ribera del Duero,105.2,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Espana,Ribera del Duero,430.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1970,4.8,417,Espana,Ribera del Duero,925.0,Ribera Del Duero Red,5,3
Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Espana,Montilla-Moriles,350.0,Pedro Ximenez,5,1
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Espana,Ribera del Duero,166.2,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1962,4.8,295,Espana,Ribera del Duero,1620.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Espana,Ribera del Duero,431.4,Ribera Del Duero Red,5,3
Bodegas El Nido,El Nido,2018,4.8,217,Espana,Jumilla,195.6,Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Espana,Ribera del Duero,824.4,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Espana,Ribera del Duero,570.5,Ribera Del Duero Red,5,3
Dominio de Pingus,Pingus,2016,4.8,145,Espana,Ribera del Duero,1280.0,Ribera Del Duero Red,5,3
Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Espana,Montilla-Moriles,244.8,Pedro Ximenez,5,1
Vega Sicilia,Unico,1979,4.8,118,Espana,Ribera del Duero,815.0,Ribera Del Duero Red,5,3
Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Espana,Montilla-Moriles,285.9,Pedro Ximenez,5,1
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Espana,Priorato,1410.3,Priorat Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Espana,Ribera del Duero,814.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Espana,Ribera del Duero,435.8,Ribera Del Duero Red,5,3
Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Espana,Montilla-Moriles,228.0,Pedro Ximenez,5,1
Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Espana,Ribera del Duero,360.0,Ribera Del Duero Red,5,3
Teso La Monja,Tinto,2012,4.8,56,Espana,Toro,1190.0,Toro Red,5,3
Dominio de Pingus,Pingus,2017,4.8,52,Espana,Ribera del Duero,1150.0,Ribera Del Duero Red,5,3
Teso La Monja,Tinto,2009,4.8,50,Espana,Toro,950.0,Toro Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Espana,Priorato,1021.2,Priorat Red,4,3
Sierra Cantabria,Magico,2016,4.8,40,Espana,Rioja,544.5,Rioja Red,4,3
Teso La Monja,Tinto,2011,4.8,32,Espana,Toro,1295.0,Toro Red,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Espana,Priorato,992.2,Priorat Red,4,3
Teso La Monja,Tinto,2015,4.8,28,Espana,Toro,1289.4,Toro Red,5,3
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Espana,Bierzo,1098.9,Red,4,3
La Rioja Alta,Gran Reserva 890,1985,4.8,26,Espana,Rioja,215.3,Rioja Red,4,3
Vega Sicilia,Valbuena 5o,2010,4.7,5266,Espana,Ribera del Duero,239.5,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2014,4.7,4350,Espana,Ribera del Duero,175.5,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2006,4.7,3929,Espana,Ribera del Duero,194.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2005,4.7,3437,Espana,Ribera del Duero,381.2,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2000,4.7,3127,Espana,Ribera del Duero,555.2,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2007,4.7,2935,Espana,Ribera del Duero,445.3,Ribera Del Duero Red,5,3
Vega Sicilia,Valbuena 5o,2015,4.7,2826,Espana,Ribera del Duero,189.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2006,4.7,2765,Espana,Ribera del Duero,362.2,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2008,4.7,2480,Espana,Ribera del Duero,289.0,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2003,4.7,2419,Espana,Ribera del Duero,325.0,Ribera Del Duero Red,5,3
